Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_248.jpg;0;1;0;4.450634;110.8935;95.03038;1.486948;39.55414;-0.001825129
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_316.jpg;0;1;0;4.486652;111.1718;95.25822;1.491796;39.52005;-0.00144721
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_383.jpg;0;1;0;4.534621;111.3827;95.43053;1.493992;39.48708;-0.001234016
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_449.jpg;-0.002375934;1;0;4.570418;111.667;95.66174;1.499162;39.33883;-0.000860685
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_515.jpg;0;1;0;4.606178;111.8821;95.83649;1.493361;39.2759;-0.001218962
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_582.jpg;0;1;0;4.653244;112.0991;96.01251;1.497675;39.23278;-0.001341576
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_649.jpg;0;1;0;4.688262;112.3913;96.24899;1.501194;39.18354;-0.00145613
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_716.jpg;0;1;0;4.724123;112.6124;96.42764;1.496986;39.14725;-0.001385988
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_781.jpg;-2.971849;1;0;4.77047;112.8358;96.60704;1.502171;38.99421;-0.0007644435
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_848.jpg;-5.982907;1;0;4.804789;113.1382;96.84548;1.503173;38.33353;0.0002273955
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_916.jpg;-5.949706;1;0;4.839099;113.3689;97.02309;1.497685;37.5656;-0.0007821104
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_982.jpg;-2.955501;1;0;4.884939;113.6021;97.20042;1.484915;36.89446;-0.003129117
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_048.jpg;0;1;0;4.91949;113.8378;97.37823;1.476954;36.51576;359.9898
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_116.jpg;0;1;0;4.953183;114.155;97.6166;1.470323;36.37833;359.9832
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_182.jpg;0;1;0;4.999022;114.3953;97.79645;1.4739;36.3792;359.9804
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_248.jpg;0;1;0;5.010026;114.6366;97.97678;1.490077;36.41187;359.9856
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_315.jpg;0;1;0;5.0175;114.9581;98.21684;1.496804;36.48695;359.992
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_381.jpg;0;1;0;5.021085;115.1991;98.39597;1.466007;36.54053;-0.00512592
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_448.jpg;0;1;0;5.008956;115.4407;98.57514;1.457358;36.53423;-0.004087056
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_516.jpg;0;1;0;5.021379;115.7631;98.8138;1.460707;36.56081;-0.003757238
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_582.jpg;0;1;0;5.008895;116.0054;98.99294;1.481042;36.54901;-0.00308027
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_649.jpg;0;1;0;5.020687;116.329;99.23164;1.522265;36.51661;-0.002257908
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_715.jpg;0;1;0;5.001224;116.5698;99.40887;1.42667;36.47307;-0.001253195
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_782.jpg;0;1;0;5.028044;116.8113;99.58611;1.361794;36.41056;-0.001277499
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_848.jpg;0;1;0;5.009062;117.1344;99.82258;1.31804;36.36233;-0.001157863
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_916.jpg;0;1;0;5.018766;117.3775;100.0002;1.316399;36.3645;-0.002353354
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_05_982.jpg;0;1;0;5.014518;117.6204;100.1773;1.321102;36.25793;-0.001568639
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_06_048.jpg;0;1;0;5.01663;117.8639;100.3546;1.345947;36.21756;-0.001115443
